Contrato,Predicao_Fraude,Valor_Renda,QT_Dias_Atraso,Total_Pago
322069266715,0,7500.0,,32066.9
322069267715,0,7500.0,,32066.9
322069270715,0,1200.0,,1991.35
322069271715,1,1850.0,376.0,1230.32
322069273715,1,2400.0,376.0,826.18
322069274715,1,6000.0,406.0,466.58
322069275715,0,3000.0,103.0,2493.4
322069276715,0,2000.0,,2507.56
322069277715,0,4500.0,103.0,4615.97
322069278715,0,4641.83,,13295.96
322069279715,1,4000.0,251.0,2145.01
322069280715,1,10000.0,406.0,833.0
322069282715,1,2500.0,344.0,868.77
322069283715,1,10000.0,406.0,833.0
322069285715,0,1800.0,41.0,4520.79
322069286715,0,7000.0,,12734.57
322069287715,1,2500.0,406.0,426.0
322069288715,1,4000.0,406.0,662.94
322069289715,1,3000.0,406.0,920.75
322069291715,1,2613.0,133.0,3107.68
322069292715,1,9000.0,344.0,7030.8
322069294715,0,2700.0,11.0,7343.46
322069295715,1,20000.0,344.0,4206.9
322069297715,0,1249.0,,12750.77
322069298715,0,50000.0,,5356.8
322069299715,1,4000.0,376.0,785.73
322069300715,1,1700.0,344.0,954.21
322069301715,0,3000.0,,12324.93
322069302715,0,15000.0,,50785.98
322069304715,1,1400.0,406.0,349.25
322069305715,1,6000.0,162.0,4176.85
322069308715,0,2250.0,,9253.35
322069309715,0,3500.0,11.0,6915.22
322069310715,0,5000.0,,13615.01
322069312715,0,3000.0,,6749.53
322069314715,0,2200.0,,8499.68
322069317715,1,5000.0,406.0,776.96
322069319715,1,1212.0,284.0,1876.65
322069320715,1,3800.0,406.0,672.0
322069321715,0,4500.0,,14164.64
322069322715,0,2200.0,41.0,5076.5
322069324715,0,7000.0,,3918.31
322069325715,1,1200.0,406.0,273.75
322069327715,0,7500.0,71.0,21907.13
322069336715,1,2475.0,406.0,484.0
322069340715,1,4232.0,315.0,754.69
322069341715,0,3000.0,,23419.13
322069342715,0,3000.0,,8505.69
322069344715,1,1500.0,406.0,275.4
322069347715,0,1900.0,,10228.49
322069349715,0,7000.0,,5606.51
322069351715,0,1754.0,,3825.87
322069352715,1,6000.0,194.0,4850.0
322069353715,1,1300.0,406.0,187.5
322069354715,0,7000.0,41.0,19337.89
322069356715,0,3800.0,41.0,4435.46
322069358715,0,3500.0,,4809.98
322069359715,1,6000.0,194.0,4850.0
322069360715,0,5000.0,,2152.8
322069361715,0,2800.0,,5108.79
322069362715,0,2500.0,,7443.06
322069364715,1,5000.0,406.0,621.2
322069365715,0,25000.0,,7161.95
322069367715,1,3500.0,406.0,583.4
322069369715,0,2950.0,,14618.36
322069371715,0,4851.08,,4430.06
322069373715,0,2500.0,,5715.58
322069374715,1,3500.0,376.0,1344.4
322069375715,1,4000.0,406.0,363.0
322069377715,0,6500.0,,7531.31
322069378715,1,1500.0,284.0,1884.53
322069380715,1,2200.0,376.0,710.0
322069382715,0,3000.0,,7763.78
322069384715,0,6000.0,,8140.0
322069385715,1,8600.0,315.0,7885.52
322069387715,1,3600.0,344.0,1065.0
322069391715,1,3500.0,344.0,970.09
322069394715,1,3000.0,376.0,1545.49
322069399715,0,2500.0,,12032.52
322069401715,0,3500.0,,74598.14
322069404715,1,1600.0,406.0,250.4
322069405715,0,4000.0,,5553.52
322069408715,0,1600.0,406.0,2405.4
322069409715,1,2500.0,406.0,355.0
322069410715,0,1400.0,,13762.84
322069411715,0,3500.0,194.0,4132.31
322069412715,1,1500.0,406.0,321.61
322069413715,0,4800.0,,5047.36
322069414715,1,4400.0,406.0,880.7
322069415715,0,4000.0,11.0,11069.81
322069418715,0,1600.0,11.0,5538.0
322069419715,1,5000.0,406.0,605.0
322069420715,0,2500.0,,13254.54
322069422715,1,3000.0,406.0,132.35
322069423715,0,8000.0,,51058.27
322069424715,1,2100.0,406.0,224.75
322069426715,0,1561.28,,5336.47
322069429715,1,30000.0,376.0,746.81
322069431715,0,1500.0,,5592.87
322069432715,0,2500.0,11.0,9310.34
322069433715,1,3500.0,406.0,1100.87
322069434715,1,3882.89,406.0,491.16
322069436715,0,9500.0,,8952.43
322069437715,1,5261.0,194.0,3005.39
322069439715,1,1800.0,376.0,710.0
322069440715,1,10000.0,225.0,5880.12
322069441715,0,6000.0,,27075.81
322069442715,0,5000.0,41.0,14583.92
322069443715,1,4700.0,406.0,846.99
322069445715,0,4300.0,,8808.1
322069447715,0,1900.0,,5561.02
322069450715,0,2500.0,,8870.22
322069452715,0,16000.0,,7447.11
322069453715,1,2400.0,376.0,738.2
322069455715,0,6166.0,,43207.3
322069458715,1,4100.0,315.0,1420.0
322069460715,1,1800.0,162.0,2295.6
322069462715,0,4200.0,,4701.99
322069465715,0,15000.0,,18052.91
322069466715,1,1350.0,406.0,256.86
322069468715,1,3000.0,194.0,2485.0
322069472715,0,5000.0,,9279.46
322069473715,1,2500.0,225.0,3010.28
322069474715,0,2000.0,,7625.26
322069477715,0,3886.0,11.0,4992.28
322069479715,1,3000.0,406.0,368.3
322069481715,1,5600.0,406.0,1100.87
322069482715,0,2600.0,,44017.93
322069487715,1,10000.0,376.0,5531.14
322069488715,1,2000.0,251.0,1535.3
322069489715,1,3500.0,344.0,962.0
322069491715,0,4194.74,,11988.07
322069493715,1,980.0,344.0,4876.2
322069496715,1,3500.0,344.0,630.05
322069497715,1,1500.0,315.0,1876.65
322069498715,1,3500.0,344.0,1089.0
322069501715,0,3100.0,,6479.0
322069502715,0,937.0,11.0,4624.16
322069505715,1,2000.0,284.0,1406.69
322069506715,1,2200.0,284.0,1775.0
322069508715,1,2000.0,194.0,2960.45
322069510715,0,4000.0,,18462.69
322069518715,1,1500.0,225.0,1378.26
322069521715,1,9800.0,284.0,9771.28
322069523715,1,2000.0,406.0,1113.7
322069524715,1,8000.0,406.0,615.16
322069526715,1,2000.0,406.0,355.0
322069527715,1,4000.0,406.0,372.72
322069528715,1,10000.0,376.0,375.33
322069531715,1,6000.0,225.0,9660.61
322069533715,0,6000.0,,140997.29
322069545715,1,12000.0,406.0,952.0
322069557715,1,2000.0,406.0,369.9
322069558715,1,4609.54,284.0,5177.16
322069560715,0,1600.0,,8984.49
322069561715,1,1818.0,251.0,2178.0
322069563715,1,1212.0,406.0,254.0
322069564715,0,2500.0,,12440.3
322069565715,0,5000.0,,5346.17
322069566715,0,5000.0,,5346.17
322069567715,1,3200.0,406.0,344.49
322069571715,0,6883.0,,33977.51
322069572715,0,6883.0,,27150.73
322069574715,1,2250.0,284.0,1041.65
322069575715,0,6883.0,,27417.23
322069576715,1,2000.0,315.0,2988.49
322069577715,0,12000.0,,9965.51
322069578715,0,6883.0,,35660.32
322069588715,0,50000.0,194.0,24260.57
322069590715,1,3000.0,194.0,7771.35
322069592715,1,3150.0,344.0,1011.88
322069593715,0,2000.0,41.0,4209.99
322069594715,0,12000.0,,16114.38
322069595715,0,5000.0,,19523.44
322069598715,1,1500.0,406.0,710.0
322069599715,0,1888.88,251.0,3668.66
322069600715,0,1800.0,,5336.47
322069602715,1,8000.0,315.0,3234.72
322069604715,1,2500.0,162.0,5832.9
322069608715,1,2000.0,344.0,1065.0
322069610715,0,2430.0,41.0,4615.0
322069612715,0,10000.0,,6090.03
322069613715,1,4000.0,406.0,369.9
322069614715,1,5000.0,406.0,257.41
322069617715,1,5100.0,376.0,1689.27
322069621715,1,2000.0,194.0,2546.56
322069622715,0,10000.0,,22036.5
322069624715,0,2262.61,103.0,2673.91
322069625715,1,3500.0,376.0,566.43
322069626715,0,2500.0,41.0,4441.41
322069628715,1,2600.0,376.0,331.31
322069629715,1,5000.0,406.0,645.8
322069631715,1,1212.0,251.0,1941.5
322069632715,1,5000.0,406.0,396.88
322069635715,1,2250.0,344.0,631.29
322069637715,0,1740.0,,5553.52
322069638715,0,1600.0,41.0,4676.8
322069641715,1,2500.0,406.0,355.0
322069643715,0,3000.0,71.0,2588.5
322069647715,0,1500.0,71.0,5706.01
322069652715,1,3500.0,344.0,1818.75
322069653715,0,4000.0,,54398.76
322069654715,0,2500.0,,7282.31
322069655715,1,7800.0,376.0,5127.92
322069661715,1,3000.0,284.0,3884.6
322069664715,1,3500.0,406.0,166.66
322069665715,1,2500.0,162.0,3230.14
322069667715,1,1200.0,406.0,363.0
322069668715,0,3500.0,,25603.61
322069669715,1,7000.0,225.0,4818.4
322069670715,1,3700.0,251.0,2137.2
322069671715,0,5000.0,,5649.71
322069674715,0,12000.0,,36434.47
322069675715,0,2500.0,,11107.04
322069676715,1,5000.0,376.0,388.46
322069678715,1,3000.0,194.0,1725.84
322069680715,1,4000.0,251.0,4195.38
322069681715,0,3500.0,,16196.92
322069684715,1,10000.0,376.0,750.66
322069686715,1,2000.0,406.0,382.12
322069687715,1,2200.0,344.0,1485.0
322069688715,1,2700.0,406.0,605.0
322069689715,0,22000.0,,21311.63
322069691715,0,5000.0,11.0,14079.88
322069692715,0,6000.0,103.0,2508.75
322069694715,0,1600.0,11.0,6929.96
322069696715,1,6300.0,376.0,2357.95
322069698715,1,5000.0,406.0,390.5
322069702715,1,1900.0,406.0,375.33
322069705715,0,3400.0,103.0,6820.0
322069709715,0,4000.0,103.0,6245.99
322069711715,0,3500.0,,5606.51
322069712715,1,1200.0,376.0,750.66
322069713715,0,6500.0,,17518.33
322069714715,0,3000.0,,7008.03
322069715715,0,7000.0,,7337.3
322069716715,1,4500.0,133.0,3753.3
322069718715,1,2000.0,225.0,2561.54
322069719715,1,3000.0,376.0,710.0
322069720715,1,1500.0,376.0,277.22
322069721715,1,3000.0,406.0,994.91
322069727715,1,10000.0,406.0,1955.24
322069729715,1,3000.0,376.0,710.0
322069730715,1,5700.0,315.0,2946.4
322069731715,1,2500.0,251.0,1666.63
322069733715,1,1200.0,344.0,868.77
322069735715,0,7859.0,41.0,7321.26
322069736715,1,1700.0,251.0,2959.2
322069737715,1,2000.0,376.0,466.16
322069739715,1,1533.0,376.0,375.33
322069741715,1,3000.0,406.0,413.31
322069742715,1,15000.0,194.0,4997.7
322069743715,1,15000.0,194.0,4997.7
322069745715,1,2300.0,376.0,1488.42
322069747715,1,2500.0,315.0,2232.82
322069748715,0,5000.0,41.0,17850.0
322069750715,0,3500.0,,38739.06
322069752715,1,1700.0,406.0,409.42
322069753715,1,1212.0,376.0,750.66
322069754715,1,3000.0,344.0,2220.0
322069756715,1,2500.0,376.0,1476.4
322069759715,0,6500.0,,32409.63
322069761715,0,3100.0,,9072.9
322069763715,0,1802.0,,4657.82
322069764715,0,4000.0,,38269.02
322069767715,1,1212.0,376.0,776.92
322069769715,0,2900.0,,4129.87
322069773715,1,8000.0,376.0,792.0
322069778715,1,2000.0,406.0,547.5
322069781715,1,3500.0,194.0,1808.68
322069782715,1,2200.0,344.0,2138.87
322069783715,0,5056.0,11.0,39570.51
322069784715,0,5000.0,,5336.47
322069787715,0,2500.0,11.0,11783.01
322069788715,0,5000.0,11.0,5202.1
322069789715,0,3500.0,,6238.84
322069795715,0,2700.0,,5749.49
322069796715,1,3000.0,315.0,1505.72
322069798715,0,2500.0,,4865.1
322069802715,0,2400.0,71.0,11478.29
322069803715,0,2000.0,,12315.42
322069805715,0,12000.0,41.0,9636.74
322069806715,0,3600.0,103.0,1988.66
322069808715,0,5000.0,376.0,3690.96
322069809715,1,2300.0,376.0,1126.18
322069812715,0,2200.0,,9177.75
322069813715,0,2500.0,,10266.86
322069814715,0,3500.0,41.0,3237.26
322069816715,0,6000.0,,9900.33
322069818715,0,2500.0,,6975.67
322069819715,1,1200.0,284.0,1103.12
322069823715,1,5000.0,376.0,330.0
322069826715,1,4500.0,376.0,806.64
322069827715,0,12000.0,,140161.52
322069830715,0,12000.0,,140161.52
322069831715,0,12000.0,,143903.78
322069833715,0,12000.0,,26154.4
322069834715,1,4000.0,406.0,375.33
322069836715,1,2000.0,376.0,1243.08
322069838715,1,3300.0,344.0,1343.98
322069840715,1,2600.0,315.0,1968.52
322069847715,0,2100.0,,12555.51
322069849715,0,678.0,11.0,3709.65
322069852715,1,2100.0,315.0,2688.81
322069854715,1,2000.0,251.0,1010.04
322069855715,0,4300.0,,16654.74
322069858715,0,2000.0,,4319.46
322069859715,1,2500.0,284.0,1399.75
322069860715,1,2000.0,406.0,388.82
322069861715,0,2500.0,,6688.79
322069863715,0,3700.0,,5839.45
322069864715,0,1800.0,,5346.35
322069865715,0,3000.0,,5404.56
322069866715,1,2000.0,406.0,294.6
322069867715,1,5000.0,344.0,2476.95
322069868715,0,7500.0,11.0,18990.5
322069872715,1,1750.0,344.0,1010.07
322069874715,1,2000.0,315.0,1635.15
322069877715,1,15000.0,344.0,4297.44
322069878715,0,5000.0,,16843.88
322069879715,1,2000.0,376.0,991.42
322069880715,1,4500.0,376.0,1252.22
322069881715,0,3600.0,,9228.95
322069882715,1,15000.0,344.0,4297.44
322069883715,1,2000.0,315.0,1165.38
322069884715,1,3000.0,284.0,1513.62
322069886715,0,2000.0,251.0,1752.19
322069887715,1,2000.0,406.0,143.08
322069888715,1,2400.0,376.0,595.0
322069889715,1,1200.0,344.0,513.72
322069891715,1,3200.0,376.0,315.65
322069893715,1,10000.0,376.0,1216.0
322069894715,0,10900.0,,8617.63
322069896715,1,10000.0,376.0,1520.0
